word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
a p a j k a ʧ a n a	107496	1582789	10
a p a j k a ʧ a n a m p a x	144522	4214194	14
a p a j k a ʧ a n a n	127098	2421286	11
a p a j k a ʧ a n a ɲ ʧ i x	189180	5465118	14
a p a j k a ʧ a n a n t a	171054	4433718	13
a p a j k a ʧ a n a ŋ k u p a x	206911	7785511	16
a p a j k a ʧ a n a p a x	139320	3431318	13
a p a j k a ʧ a n a t a	141462	3139458	12
a p a j k a ʧ a ŋ k u	127979	2510190	11
a p a j k a ʧ a ɴ q a	104580	1885360	11
a p a j k a ʧ a ɴ q a ŋ k u	152765	4979505	14
a p a j k a ʧ a p u ŋ k u m a n	210235	8614896	16
a p a j k a ʧ a r̞ q a ŋ k u p u n i	272361	13810514	18
a p a j k a ʧ a s a ɲ ʧ i x	175248	5056446	14
a p a j k a ʧ a ʃ a ŋ k u	146357	4059930	13
a p a j k a ʧ a s a s q a	130554	3345135	13
a p a j k a ʧ a s q a	112410	2004165	11
a p a j k a ʧ a s q a ŋ k u	160595	5211230	14
a p a j k a ʧ a s q a ŋ k u m a n	201084	9535452	17
a p a j k a ʧ a s q a ŋ k u t a	217464	8407737	16
a p a j k a ʧ a w a j k u	151740	4315520	13
a p a j k a ʧ a x	86148	953399	9
a p a j k a ʧ a j	86814	968626	9
a p a j k a ʧ a j k u	116424	2368820	11
a p a j k a ʧ a j k u ʧ u	185096	4823990	13
a p a j k a ʧ a j k u r a x	199359	5515260	14
a p a j k a ʧ a j t a	110790	2129427	11
a p a j k a m u n	79599	1096496	9
a p a j k a m u ŋ k u	120779	2335762	11
a p a j k a m u ŋ k u m a n	161268	5034982	14
a p a j k a m u j t a	102636	1975460	11
a p a j k u	46458	264368	6
a p a j k u ʧ i m u n	158044	2840092	11
a p a j k u w a r̞ q a ɲ ʧ i x	231642	7500378	15
a pʰ a j ʎ a	37584	194040	6
a p a j m u s q a j w a n t a x	182436	6919020	16
a p a j t a	40824	215064	6
a p a j t a q a	65574	595820	8
a p a j t a w a n	97848	1211952	9
a p a j t a w a n t a x	153126	3135120	12
a p a j̠̠ q a ʧ a k u n a n t a	232593	7981062	15
a p a j̠̠ q a ʧ a k u s a n	169458	4512700	13
a p a j̠̠ q a ʧ a k u s q a p i	193806	6745422	15
a p a j̠̠ q a ʧ a n a	109404	1615380	10
