word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
tʰ o r ɮʲ i ŋ	195970	813046	6
m i t e ɮ ɮʲ i ŋ	249195	1914661	8
j a w s ə ŋ	102126	505335	6
g i tʰ ə ɮ	113504	376944	5
x u nʲ i g	98571	331714	5
x i r x ə ŋ	152625	676390	6
u ɮ	0	0	2
e r	0	0	2
s ʊ m	23925	23925	3
nʲ ii g mʲ i ŋ	92187	449912	6
i n ə x u	111111	369174	5
ɔ r ʃ ə ŋ	114700	367918	5
ʊ g	0	0	2
p ɔ ɮ ə x g u i	242424	2129910	8
o m n ə t	84969	335938	5
t ee r e	95830	185296	4
tʰ i t nʲ i	92070	315010	5
i r e t	92352	170100	4
g i w ə ɮ	92222	335460	5
i n ə x u	111111	369174	5
p a i ɢ ʊ ɮ s ə ŋ	212137	2317341	9
x i m ʧ e nʲ i	161271	1153377	7
ʊ χ a ŋ	49005	92565	4
o g ə x	81548	175202	4
x i ɮ s ə ŋ	139009	634702	6
p ɔ ɮ ə m ʧ tʰ ɔ i	268762	3135606	9
p ɔ ɮ ə ɮ tʰ ɔ i	277321	2400969	8
a w a t	54912	115269	4
ʦ a χ	28512	28512	3
n a rʲ i ŋ	110946	294162	5
t a ɮ a i ŋ	142395	616858	6
s ʊʊ ʧ	30624	30624	3
tʰ i r e r	140082	449294	5
pʲ i t nʲ i	82863	261478	5
x i ʦ e	76032	159687	4
o g ʧʰ	41151	41151	3
u n	0	0	2
i ŋ g ə ʧ	80069	286088	5
ee ʧ	0	0	2
x o r ə ɴ ɢ	162652	698626	6
ɔ χ ə ŋ	62937	120665	4
j e r	43290	43290	3
ʃ i n	27621	27621	3
pʲ i t	23529	23529	3
t i ɮ xʲ i	111111	351474	5
p u g t	57942	105000	4
j a rʲ ʧ	85239	158499	4
x ɔ n ə gʲ i ŋ	151140	1035646	7
a ʃ ə ɢ ɮ ə χ	175824	1198306	7
uu r ə g	88985	166241	4
x a m gʲ i ŋ	86625	455686	6
t ɔ r	47027	47027	3
tʰ ʊ s	30624	30624	3
a mʲ t ə r ʧʰ	141866	690592	6
a ʧ ɮ ə ŋ	115588	332464	5
j a w ə χ	83460	282843	5
pʲ i ʧʰ ə ʧ	105633	316206	5
pʲ i ʧʰ ə g	100749	292606	5
tʰ i m ʦʰ e ŋ	108798	547060	6
p ɔ ɮ ɢ ə ʧ	141673	691634	6
χ a tʰ ə t	104288	325184	5
ʧʰ i ŋ gʲ ə s	89283	521638	6
m i t ə x g u i	207504	1867498	8
u n ə x ə r	160284	827320	6
x ʊ wʲ i ŋ	78408	254826	5
ɔ r ə ɮ ʦʰ ə ʧ	229511	1646781	7
oo r tʰ o	99456	221103	4
gʲ i ʃ u ŋ	88660	252778	5
ʊ n ʃ ə χ	89559	294594	5
ʊ ɮ a ŋ	67155	117975	4
ʦʰ a ɢ tʰ	54054	112582	4
a r a i	80586	156816	4
ʦʰ i r ə g	122729	370030	5
ʦʰ aa ʃ	30752	30752	3
ʊ ɮ ə m	79402	140452	4
nʲ ii tʰʲ i ŋ	86720	255614	5
tʰ o r	50912	50912	3
p a s	22011	22011	3
ʦ u g e r	118030	417810	5
a χ	0	0	2
ʧ aa χ ə ŋ	82458	269249	5
p a rʲ ʧ	75768	131934	4
m ɔ ɴ ɢ ə ɮ t	145199	1047298	7
tʰ ɔ m ə χ ə ŋ	154641	1077410	7
i r ə x	90354	170940	4
ʃ i ɮ t ə g	151404	715060	6
ɢ a r ə χ	113886	322274	5
x u ʧʰ tʰ e	120549	419538	5
g i x t e	105237	356646	5
n a m	22275	22275	3
n a s tʰ a i	121935	603414	6
ʦ a s gʲ i ŋ	96624	481548	6
tʰ ɔ χ j ə ɮ t ə ɮ t	309430	4693082	10
a ɮ ɢ	31746	31746	3
j aa ɢ a t	79014	279592	5
e t	0	0	2
ɔ r ə s	95830	183816	4
j ʊ m a	51975	109395	4
p a ɢ ʃ	46332	88399	4
r uu	0	0	2
ɮ ee	0	0	2
tʰ a ɮ a r a	164835	796010	6
m ʊ ʧ	27225	27225	3
