word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
p a n a s i r o d a	218070	3152496	10
k a b i n e t i r o d a	252158	5660237	12
p aa r t i r o d a	206381	2358504	9
v a rr o d a	113288	576898	6
m o S o d a	136416	540858	6
g OO z m o S o d a	237340	2853202	9
u s o d a	107793	325836	5
v e r S e N u s o d a	294903	5484362	11
S p o r t u s o d a	288808	4522716	10
oo v o d a	95903	298326	5
aa ll a t oo v o d a	210363	2348424	9
oo d a	24650	24650	3
d i oo d a	81838	272761	5
k r i S t aa j d i oo d a	335097	7373908	12
k oo d a	61132	119407	4
s oo d a	70992	145017	4
m a r oo s oo d a	195098	1488057	8
m o S oo s oo d a	240004	1833615	8
C a b d a	90675	334846	5
o l a j C a b d a	216125	2536496	9
t a n k C a b d a	211873	2520416	9
h u ll aa m C a b d a	208142	3328352	10
f ee N C a b d a	167430	1714029	8
b o m b a r d a	130562	1264031	8
g a r d a	84150	271273	5
l o v a r d a	153873	1044970	7
C aa r d a	96525	347728	5
b i r k a C aa r d a	268076	3909188	10
b O g r e C aa r d a	271009	3953078	10
t e j C aa r d a	204808	1860135	8
b e T aa r C aa r d a	282540	4114760	10
a u t oo S C aa r d a	319622	4182864	10
h a l aa s C aa r d a	301600	4336076	10
d aa r d a	84150	271273	5
g aa r d a	84150	271273	5
ee l g aa r d a	142494	950314	7
ii r oo g aa r d a	168134	1521462	8
s e r e p l OO g aa r d a	298171	6926060	12
s ii n ee s g aa r d a	237407	3878281	10
t O r Z g aa r d a	260720	2980705	9
j aa r d a	81675	255982	5
t ee g l a j aa r d a	217099	3285890	10
m o z g oo j aa r d a	250774	3348213	10
k o k aa r d a	153151	1073922	7
d a l aa r d a	132000	922198	7
p e t aa r d a	137895	936730	7
z aa r d a	94050	332437	5
a p aa c a z aa r d a	264575	3735497	10
p a n i p e r d a	160617	1918554	9
s e r d a	100221	351776	5
k u p a s e r d a	220265	2651628	9
n a cc e r d a	160803	961690	7
h a m v a z oo s e r d a	332545	7186464	12
v e r d a	93093	309528	5
o r d a	60588	109163	4
b o r d a	90255	278578	5
j ee g b o r d a	177737	1581876	8
o l d a l b o r d a	234135	3424966	10
aa l b o r d a	145497	938506	7
s aa r N b o r d a	186717	2428052	9
r e p y l OO b o r d a	266831	4776326	11
S e r t ee Z b o r d a	320509	6096354	11
C o r d a	107481	376948	5
t e h ee n C o r d a	248022	3753296	10
d i s n oo C o r d a	282119	4220190	10
O k O r C o r d a	277909	3132668	9
s a r v a S C o r d a	380793	6997158	11
e l e f aa n t C o r d a	321394	6828045	12
f o r d a	99825	333228	5
h o r d a	95997	311368	5
b uu t o r d a	150783	993610	7
j oo Z d a	128545	352624	5
c u k r aa z d a	227594	2217610	8
C uu z d a	142186	448879	5
s ee n C uu z d a	224401	2208856	8
r aa z oo C uu z d a	317219	3477566	9
d u d a	54162	106012	4
k e C k e d u d a	259767	2966369	9
m ee r e g d u d a	187866	2002894	9
k O C O g d u d a	276148	3130022	9
a u t oo d u d a	166324	1426724	8
b OO r d u d a	150951	1008430	7
aa r u d a	75519	235594	5
f i oo k aa r u d a	198467	2503002	9
d o h aa N aa r u d a	188701	2898182	10
k r uu d a	86211	298966	5
g a z d a	117300	338626	5
b a n d a g a z d a	219425	3182700	10
m i n t a g a z d a	219561	2950809	10
p u s t a g a z d a	293179	4195137	10
v a d g a z d a	208250	1928222	8
h aa z i g a z d a	263206	3077218	9
uu j g a z d a	172108	1091216	7
a r a t oo g a z d a	251335	3559347	10
m e z OO g a z d a	254234	2647514	9
l a p g a z d a	195575	1738574	8
r e n cc e r g a z d a	293580	5390480	11
o r g a z d a	177888	1153332	7
b o r g a z d a	207555	1827086	8
b ee r e S g a z d a	293951	4199441	10
k o C i S g a z d a	364165	5264839	10
k i S g a z d a	254023	2272574	8
s OO l OO S g a z d a	334663	5187897	10
b a c i l u S g a z d a	386048	8256150	12
j u h aa s g a z d a	296619	4271371	10
O t l e t g a z d a	277355	4075085	10
p a r a s t g a z d a	329080	5692130	11
l e m e z g a z d a	253006	3697064	10
k O z g a z d a	257646	2301914	8
n a D g a z d a	217425	1753250	8
b a r aa z d a	162350	1045586	7
a D b a r aa z d a	232100	2718701	9
v a g b a r aa z d a	248200	3766241	10
s ee l b a r aa z d a	257423	4081046	10
g a r aa z d a	164825	1089248	7
g i z d a	129812	367162	5
z uu z d a	138460	429682	5
r o Z d a	131271	366018	5
g a b o n a r o Z d a	255450	4512292	11
v a k r o Z d a	233280	2090069	8
r ee z r o Z d a	257265	2202484	8
b r i n d z a	142414	1042882	7
b o d z a	115022	347335	5
D a l o g b o d z a	269742	4289231	10
m a h a r a QQ a	162900	1419398	8
r aa QQ a	71050	132100	4
b a n Q a	66675	251098	5
h a l a n Q a	118875	960484	7
l aa n Q a	67725	261264	5
f i n Q a	79401	328276	5
n i n Q a	67221	219096	5
h o QQ a	88102	160252	4
l o QQ a	82418	146768	4
p a n aa c e a	119400	808492	7
i d e a	49572	93797	4
o r h i d e a	156872	991834	7
t r oo f e a	132510	624260	6
v a d aa s t r oo f e a	322270	5704362	11
a z aa l e a	111250	529186	6
k aa m e a	43225	181606	5
l ii n e a	49455	189414	5
p ii n e a	48279	181792	5
