word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
L o x m a	3798	14523	5
L u z i	5040	10864	4
L u z u	4704	9800	4
L u h d a	4464	16952	5
L u k u	3528	8036	4
L u L u	5488	10976	4
L u m i	4200	9576	4
L u m b i	4960	20416	5
L u n g u	5824	20594	5
L u p a	3500	7196	4
L u P a	3850	7700	4
L u s g a	4631	16097	5
L u s k u	4928	18662	5
L u s d a	5456	18896	5
L u d a p u	7060	38672	6
L u T u	5096	10388	4
L u t u	4704	9800	4
l o n Q o	6253	21814	5
l o G o	3640	8125	4
l o Q e	4433	10193	4
l o q o	3640	8125	4
l o x o	3276	7566	4
l o x r u	5157	21523	5
l o x d u	4671	19593	5
l u g a n a	6136	35414	6
l u k u	3654	8484	4
l u X i	1302	5382	4
l u X u	1218	4788	4
l u n T a t a	10123	71510	7
l u b i	4340	10100	4
l u p i	4340	10100	4
l u	0	0	2
l u r z u	7644	26180	5
l u r i	6076	12796	4
l u r h a	6090	19517	5
l u r u h a	8834	41567	6
l u t i	5208	11448	4
l u w a	3276	7071	4
m a z a	2772	5302	4
m a c a	2772	5302	4
m a h a	2079	4279	4
m a g a	2079	4279	4
m a g i c a	6414	29763	6
m a g u n X u	5106	38864	7
m a K a	2310	4620	4
m a K i	2860	6220	4
m a K u r X a	5650	37459	7
m a l a	3465	6325	4
m a L a	3234	5984	4
m a L k i	4942	16680	5
m a L k u	4690	15242	5
m a L G a	4620	13874	5
m a l t a	5610	16177	5
m a X a	693	2233	4
m a X i	858	3098	4
m a n G a	4290	13213	5
m a n Q a	4576	13970	5
m a n u	3432	6792	4
m a N a s u	5918	30203	6
m a b a	2310	4620	4
m a q a	2310	4620	4
m a Q a n a	5687	27742	6
m a q o	2530	5260	4
m a	0	0	2
m a r k a	4312	13085	5
m a r K a	4620	13874	5
m a r X i	2674	10896	5
m a r p a c a	7392	49993	7
m a r q a	4620	13874	5
m a s a	2541	4961	4
m a s i	3146	6666	4
m a s k i	3883	14343	5
m a d a q e	5852	31192	6
m a d i	3432	7112	4
m a t a	2772	5302	4
m a T a p i	6193	32525	6
m a w r i	4392	16680	5
m a x a	2079	4279	4
m a x L a	3762	13085	5
m a x n u	3915	14523	5
m a x d a	3366	11827	5
m a y a	2310	4620	4
m a y h a	3080	10569	5
m a y k a t a	5720	41198	7
m a y X a	1760	6603	5
m a y X u r u	5182	42142	7
m a y n e x t a	9398	84020	8
m a y n i	4610	16828	5
m a y q a	3300	11230	5
m a y s a n a	6666	46422	7
m a y d u	4100	14628	5
m e q e	4160	8320	4
m e r G e	6720	22264	5
m e x a	3024	5774	4
m i z a	4032	7112	4
m i z i	4992	9472	4
m i g a y a	5224	27193	6
m i g i	3744	7744	4
m i K i	4160	8320	4
m i L i	5824	10624	4
m i L g u	6020	19332	5
m i n g a	5239	15901	5
m i n u	4992	9052	4
m i r k a	5642	16680	5
m i r K a	6020	17644	5
m i s g i	4928	18238	5
m i s X i	2816	12010	5
m i s t u	5720	19572	5
m i d a	4032	7112	4
m i t a	4032	7112	4
m i T a	4368	7558	4
m o L o G o	7696	35655	6
m o G e	3380	7060	4
m o q e	3380	7060	4
m o q o	2990	5980	4
m o r q o	5460	17026	5
m o s G a	4070	13213	5
m o s G o	4290	14659	5
m o x z i	4302	16750	5
m o x s a	3546	12456	5
m u z a	3528	6388	4
m u c a	3528	6388	4
m u C a	3822	6792	4
m u c i	4368	8528	4
m u h i	3276	6956	4
m u h L i	5040	19332	5
m u h u	3024	6244	4
m u g i	3276	6956	4
m u g u	3024	6244	4
m u K i	3640	7480	4
m u L a	4116	7196	4
m u L u	4704	8624	4
m u l d i	7500	23588	5
m u n a	3822	6792	4
m u r i	5096	9576	4
m u r g a	5110	15242	5
m u r X u	3136	11648	5
m u r u	4704	8624	4
m u s i	4004	8004	4
m u s K i	4840	17644	5
m u s P a	4565	14663	5
m u d i	4368	8528	4
m u t a	3528	6388	4
m u T u	4368	8148	4
m u t u	4032	7672	4
m u y d a	4400	14628	5
m u y t a	4400	14628	5
m u y u	3360	6720	4
m u T a p i	7012	36806	6
n a K a	2640	5643	4
n a s a	2904	6050	4
n a y	1430	1430	3
n i X a	1152	3869	4
n i y a	3840	7558	4
n u K u	3780	8148	4
n u w a	3024	6313	4
n u w h a	3663	13702	5
N a z a	3036	6072	4
N a g a y a	4477	24158	6
N a k a	2277	4917	4
N a n Q a	4862	15554	5
N a X a	759	2607	4
N a p i n i	8488	43114	6
N a x o	2475	5595	4
N e G e	4480	9472	4
N e q e	4480	9472	4
N i g u t a	7104	36802	6
N i d i	5376	10752	4
N o q e	3640	8056	4
N o x o	2925	6357	4
N u k u	3276	7140	4
N u X u	1092	3948	4
N u b i	3920	8528	4
N u s a	3542	6842	4
N u s g u	4620	16952	5
N u d u	4368	8736	4
b a k i	2574	5774	4
b a L q a	4620	13874	5
b a m X a	1760	6603	5
b a X i	858	3098	4
b a q o	2530	5260	4
b a r i	4004	8004	4
b a r X a	2464	8351	5
b a s X a	1936	7040	5
b a t a	2772	5302	4
b a t i	3432	7112	4
b a t s u	4620	15452	5
b a x a L i	5929	32333	6
b a x N u	3690	13804	5
b a x	990	990	3
b e n q a	5590	16828	5
b e q e	4160	8320	4
b e s q e	5280	19276	5
b i n k i	5824	20146	5
b i s a	3696	6666	4
b i t a	4032	7112	4
b i t u	4608	8528	4
b i y a	3360	6220	4
b o s q o	4290	14659	5
b u h a	2646	5176	4
b u h r u	4788	17696	5
b u h s a	3735	13085	5
b u l t i	7500	23588	5
b u N u	4032	7672	4
b u r X u	3136	11648	5
b u s u	3696	7196	4
b u t u	4032	7672	4
b u y r u	5320	18704	5
b u y u	3360	6720	4
p a c a	2772	5302	4
p a c X a	2112	7477	5
p a h u	2376	5176	4
p a k i	2574	5774	4
p a l a m a	6325	28736	6
p a l i	4290	8450	4
p a L i	4004	8004	4
p a L X a L i	5390	47137	7
p a L q a	4620	13874	5
p a l t a	5610	16177	5
p a m X a	1760	6603	5
p a n i	3718	7558	4
p a n X a c a	4136	34766	7
p a n q a	4290	13213	5
p a n t a	4862	14727	5
p a n t i	5642	18682	5
p a X a L i	3619	23183	6
p a	0	0	2
p a r i	4004	8004	4
p a r k i	4942	16680	5
p a r l a	6160	17819	5
p a r X a	2464	8351	5
p a r q o	4900	15382	5
p a r w a y u	6842	49657	7
p a s a	2541	4961	4
p a t a	2772	5302	4
p a t i L a	8584	36908	6
p a w i	2574	5774	4
p a w n a	3564	12456	5
p a x X a	1584	6166	5
p a y i	2860	6220	4
p a y L a	4180	13874	5
p a y X a c a	3608	30644	7
p a y t a	3740	12552	5
p e q a	3360	6220	4
p e q o	3680	7060	4
p e x t u	4680	17564	5
P a h s a	3267	11858	5
P a l a	3630	6776	4
P a l k a	4785	14498	5
P a L a	3388	6413	4
P a L X a	2618	8888	5
P a n g a	4147	13178	5
P a n d a	5005	15554	5
P a N a	2904	5687	4
P a p a L i	6424	35383	6
P a X a	726	2420	4
P a	0	0	2
P a s a	2662	5324	4
P a d a	2904	5687	4
P a d i	3564	7612	4
P a t a	2904	5687	4
P a t u	3300	6842	4
P a w a	2178	4598	4
P a x c a	3465	12518	5
P a x p a	3069	11198	5
P a x s i	3762	15158	5
P e s q a	4906	16049	5
P i z i	5184	10112	4
P i z u	4800	9112	4
P i c a	4224	7612	4
P i C a	4576	8085	4
P i C u	5200	9666	4
P i c u	4800	9112	4
P i g i	3888	8288	4
P i L m a	6244	18608	5
P i L X a	3598	11573	5
P i n a	4576	8085	4
P i n z a	6500	19689	5
P i N u	4800	9112	4
P i r i	6048	11328	4
P i r u	5600	10220	4
P i s a	3872	7139	4
P i s i	4752	9504	4
P i s k a	4609	15158	5
P i s K u	5236	18608	5
P i s k u	4906	17603	5
P i s n a	5797	18722	5
P i s t u r u	10992	78774	7
P i s w a	4609	15158	5
P o g e	3159	7031	4
P o q a	2860	5643	4
P o q e	3510	7558	4
P o Q a	3146	6050	4
P o r q e	6062	20536	5
P o x o	2808	5954	4
P o x t u	4203	16165	5
P u z u	4200	8204	4
P u c a	3696	6842	4
P u C a	4004	7271	4
P u h a n t a	7491	53774	7
P u h u	3150	6692	4
P u g i	3402	7450	4
P u K u	3500	7196	4
P u k u c u	7014	36986	6
P u L z u	6860	21812	5
P u L u	4900	9212	4
P u n a	4004	7271	4
P u N a	3696	6842	4
P u X u	1050	3668	4
P u r i	5292	10220	4
P u r k a	5306	16097	5
P u r m u	6076	19712	5
P u r u	4900	9212	4
P u s a	3388	6413	4
P u s n o	5555	18932	5
