word	local_natclass_trigrams	nonlocal_natclass_trigrams	length
A f t ee lj u bj I tj i lj s t v ee	2249536	74253477	15
A f t ee m ee gj i s t r A lj	1595449	41504949	13
ee f t ee m A t	539502	3870628	7
ee f t ee m ee tj i z A ts i j i	1522633	47147487	14
ee f t ee m ee tj i zj I r ee v ee nj i j i	2204587	113078072	18
ee f t ee m ee tj i zj I r ee v ee tj sj i	2317024	105490292	17
ee f t ee m ee tj I z m	1039998	16396184	10
ee f t ee m A tj i k ee	748904	11194902	10
ee f t ee m ee tj I chj i s kj i j	1243695	40486830	14
ee f t ee m ee tj I chj n ee s tj	1353018	37640396	13
ee f t ee m ee tj I chj n i j	1099497	25515152	12
ee f t ee m A t n i j	836097	13342131	10
ee f t ee m A t chj i k	820666	11354006	10
ee f t ee m A t chj i ts ee	980802	18689826	11
ee f t ee m ee sh I n ee	848031	12774803	10
A f t ee m ee sh i nj I s t	1064023	24672926	12
A f t ee mj i x A nj i k	727420	12000665	11
ee f t ee m ee bj I lj i s t r ee j E nj i j i	2653221	163923766	20
ee f t ee m ee bj I lj i s t r ee I tj i lj	2442720	133131475	18
ee f t ee m ee bj i lj i z A ts i j i	1891440	77109490	16
ee f t ee m ee bj i lj I z m	1406235	32238312	12
ee f t ee m ee bj i lj I s t	1341831	31985363	12
ee f t ee m ee bj i lj I s t k ee	1552011	47233776	14
ee f t ee m ee bj I lj	865272	11783360	9
ee f t ee m ee bj I lj n i j	1259247	29333072	12
ee f t ee m ee bj I lj chj i k	1258964	25822140	12
A f t ee m ee r fj I z m	1242309	23130584	11
ee f t ee m O t ee k l U p	1063435	23664540	12
A f t ee m ee t O r n i j	1235391	27511828	12
ee f t ee m O t ee sh k O l ee	1214846	34198760	13
A f t ee m ee t rj I s ee	1312971	23004314	11
ee f t ee n ee mj I s t	897642	14657030	10
ee f t ee n ee mj I s t s kj i j	1429725	44002316	14
ee f t ee n ee mj I chj i s kj i j	1155339	37378266	14
ee f t ee n O mj i j i	793590	11843234	10
ee f t ee n O m n ee s tj	1045791	20207768	11
ee f t ee n O m n i j	798120	12488762	10
A f t ee p A r k	617702	5663026	8
A f t ee pj i rj i v O s k ee	1248547	31910627	13
A f t ee pj i l O t	851368	10092614	9
ee f t ee p l A s tj i k ee	1267457	27559704	12
A f t ee p l U k	701709	5612982	8
A f t ee p ee g r U s chj i k	1288988	30789828	13
A f t ee p ee d j O m nj i k	1329417	29945712	13
A f t ee p O j i s t	909804	14292930	10
A f t ee p ee I l k ee	863974	12476359	10
A f t ee p ee k r I sh k ee	1025789	22043328	12
A f t ee p ee r t rj E t	1680270	27117518	11
A f t ee p r ee bj E k	1057869	13545878	10
A f t ee p r ee m I sh lj i n n ee s tj	1970249	93763425	17
A f t ee r	481920	1558105	5
A f t ee rj i g u lj A t ee r	1591365	44560519	13
A f t ee rj i m O n t nj i k	1291376	29569975	13
A f t ee rj i m O n t n i j	1326455	34042508	13
A f t ee rj i fj i r A t	1315282	23621440	11
A f t ee rj i f rj i zh ee r A t ee r	2455210	105148796	16
ee f t ee rj i z A ts i j i	1586833	34208342	12
ee f t ee rj i z O v ee n n i j	1800173	55214146	14
ee f t ee rj i t A r n ee s tj	1766543	49261356	13
ee f t ee rj i t A r n i j	1499072	34401174	12
ee f t ee rj i tj E t	1132289	13363632	9
ee f t ee rj i tj E t n ee s tj	1699505	46507616	13
ee f t ee rj i tj E t n i j	1442384	32289424	12
A f t ee r O t ee	926558	7848740	8
A f t ee r s kj i j i	1143414	15308201	10
A f t ee r s kj i j	1057167	11688232	9
A f t ee r s t v ee	1447746	14454332	9
A f t ee r u lj i v O j	1383191	24890916	11
ee f t ee r U chj k ee	921821	10250179	9
A f t ee s A nj i	707544	5722483	8
A f t ee z b O r k ee	1343858	18043311	10
A f t ee s v A r shshj i k	1320828	21170682	11
A f t ee s p O r t	965016	12220112	9
A f t ee s t A n ts i j i	1264347	26285146	12
ee f t ee s t O p	899280	7316720	8
ee f t ee s t r A d ee	1524740	22643088	10
A f t ee s t r ee j E nj i j i	1929417	51879660	14
A f t ee s t r ee I tj i lj	1718916	37701984	12
A f t ee s ts E p k ee	969774	12540288	10
A f t ee tj i lj E sh k ee	1208677	20373225	11
ee f t ee tj I p	660348	4044750	7
ee f t ee tj i pj I chj i s kj i j	1210635	38669290	14
ee f t ee tj I pj i j i	889452	13066344	10
ee f t ee tj I p n i j	893358	13760368	10
ee f t ee t ee mj I j i	937716	13691855	10
A f t ee t O r m ee s	1109583	16946150	10
A f t ee t ee r m ee z n O j	1710546	44595320	13
A f t ee t r A k t ee r n i j	1711277	51534300	14
A f t ee t r A n s p ee r t	1671417	45460945	13
A f t ee t r A n s p ee r t n i j	2100312	83822094	16
A f t ee t r ee n s f ee r m A t ee r	2380635	112191975	17
A f t ee t r A s s ee	1359528	19289492	10
A f t ee t u rj I z m	1227492	18164434	10
A f t ee t u rj I s t	1163088	18042375	10
A f t ee u k l A t chj i k	1025576	21140239	12
A f t ee f u r g O n	957797	13505059	10
A f t ee x ee zj A j s t v ee	1758890	43659987	13
A f t ee x r O m	795491	6490106	8
ee f t ee x r O m n i j	1071791	20548696	11
ee f t ee x t O n	730800	6475862	8
ee f t ee x t O n	730800	6475862	8
ee f t ee x t O n n i j	987570	18919118	11
A f t ee ts i s tj E r n ee	1509069	31560740	12
A f t ee chj A s tj	735656	7213273	8
A f t ee sh k O l ee	799352	9951842	9
A f t ee sh t U r m ee n	1180365	20739395	11
ee v u A r i	361944	2143870	6
ee g ee	94987	94987	3
ee g A	68714	68714	3
ee g A v ee	240074	918425	5
ee g ee lj I t	611811	2888547	6
ee g ee lj m ee t ee lj I t	1425099	26266584	11
ee g A m ee	188054	732972	5
ee g ee mj i	241627	767754	5
ee g ee mj I j i	412162	3043332	7
ee g ee m ee g O nj i j i	759629	14384640	11
ee g A r a g A r	586261	6669144	8
ee g A r n i j	560140	4238434	7
ee g A r ee v i j	769070	7273890	8
ee g ee rj A nj i n	697379	6172502	8
ee g A t	156434	373574	4
ee g A t n i j	453029	3550918	7
ee g A t ee v i j	638154	6227022	8
ee g g lj u tj i n ee tj I v n ee s tj	1751855	75433822	16
ee g g lj u tj i n ee tj I v n i j	1496534	55494536	15
ee g g lj u tj i n A ts i j i	1212572	32084718	13
ee g g lj u tj i nj I n	911264	13260149	10
ee g g lj u tj i nj I r u j u shshj i j	1697389	72984946	16
ee g g r ee v A ts i j i	1131884	20161640	11
ee gj E n t	259584	1007874	5
ee gj E n t	259584	1007874	5
ee gj E n t s kj i j	708507	9022471	9
ee gj E n t s t v ee	1055064	11313470	9
ee gj i n t U r ee	628445	6494495	8
ee gj i n t U r n i j	866057	13978204	10
ee gj i o g r ee fj I chj i s kj i j	1313188	48044191	15
ee gj i o g r A fj i j i	879371	16502040	11
ee gj i o l O gj i j i	769977	11939362	10
ee gj i t A t ee r	698057	7329342	8
ee gj i t A t ee r s kj i j	1273304	27930636	12
ee gj i t A t ee r sh ee	1134969	15932154	10
ee gj i t ee ts i O n n i j	952517	22008732	12
ee gj i t A ts i j i	669704	8242242	9
ee gj I d b rj i g A d ee	1421558	25503344	11
ee gj I t k ee	320016	1659456	6
ee gj I t k ee m p A nj i j i	822207	22720336	13
ee gj i t m A s s ee v i j	1178361	26423439	12
ee gj I t p O j i s t	821106	13778574	10
ee gj i t p r O p	697049	6046250	8
ee gj i t p U n k t	521687	6966655	9
A g lj i ts kj i j	673925	6255878	8
ee g l ee mj i r A t	948949	11687049	9
ee g l ee mj i r A t chj i k	1230113	25724032	12
ee g l ee mj i r ee ts i O n n i j	1562352	56035610	15
ee g l ee mj i r A ts i j i	1250536	28054562	12
ee g l ee mj i rj I r ee v ee tj sj i	2065566	72743224	15
ee g n A t	248535	937019	5
A g nj i ts	253104	848002	5
ee g n ee zj I j i	818631	7150225	8
ee g n O s tj i k	661446	5394268	8
ee g n ee s tj i ts I z m	1214856	22820236	11
ee g n ee s tj I chj i s kj i j	1204443	32532388	13
ee g ee nj i zj I r ee v ee tj	1478615	33308492	12
ee g ee nj I chj i s kj i j	782980	15903691	11
ee g O nj i j i	420853	3072814	7
ee g ee r ee f O bj i j i	1145836	20215794	11
ee g r ee m A n t	701417	6658886	8
ee g r ee m A n t ee v i j	1214157	27136872	12
ee g r A rj i j	853257	5889806	7
ee g r A r nj i k	861235	6876906	8
ee g r A r n i j	893395	8572611	8
ee g r A f	433011	1274460	5
ee g r ee fj I j i	820313	7126271	8
ee g rj i g A t	599678	4205214	7
ee g rj i g A t n i j	896273	14263901	10
ee g rj i m A n	553572	3546886	7
ee g rj i s sj I v n ee s tj	1534806	36061809	12
ee g rj i s sj I v n i j	1279485	24183157	11
ee g rj E s sj i j i	1130432	12840399	9
ee g rj E s s ee r	1184018	11585594	8
ee g rj i k u lj t U r ee	1206530	24525980	11
ee g rj i k u lj t U r n i j	1444142	41208724	13
A g r ee b A z ee	924308	8553516	8
A g r ee bj i O l ee k	1076578	14374180	10
A g r ee bj i o l ee gj I chj i s kj i j	1714717	79349216	17
A g r ee bj i o l O gj i j i	1326489	33516400	13
A g r ee b ee t A nj i k ee	1161248	22804832	12
A g r ee z ee o tj E x nj i k ee	1604379	42971671	14
A g r ee mj i lj i o r A ts i j i	1593372	57915344	15
A g r ee mj i tj i o r O l ee k	1559396	45053631	14
A g r ee mj i tj i o r ee l ee gj I chj i s kj i j	2306363	162630340	21
A g r ee mj i tj i o r ee l O gj i j i	1912906	84345732	17
ee g r O mj i t r	752045	8279866	8
A g r ee mj I nj i m u m	811548	13353318	11
ee g r ee n O m	658091	3918734	7
ee g r ee n ee mj I chj i s kj i j	1251830	39704279	14
ee g r ee n O mj i j i	890081	12836616	10
ee g r ee n O m sh ee	843731	9908005	9
A g r ee p U n k t	689367	7901551	9
A g r ee sj E tj	837886	5176330	7
A g r ee tj E x nj i k	967902	11908198	10
A g r ee tj E x nj i k ee	1021811	16489476	11
A g r ee tj i x nj I chj i s kj i j	1405083	49379228	15
A g r ee fj I zj i k ee	1020906	14265522	10
A g r ee fj i zj I chj i s kj i j	1459923	45717740	14
A g r ee xj I mj i k	686641	6716905	9
A g r ee xj i mj I chj i s kj i j	1138527	35314316	14
A g r ee xj I mj i j i	819064	11455984	10
A g r ee sh k O l ee	901117	10834556	9
ee g u	70735	70735	3
ee g U l	184470	480946	4
ee g U lj s kj i j	711240	7022410	8
A t	0	0	2
ee d ee zh i o	724467	3125274	6
ee d ee lj I n	818091	3566162	6
ee d ee m A n t	549278	4370942	7
ee d ee m A n t ee v i j	1062018	21093824	11
ee d ee mj I t	485714	2664080	6
ee d ee m sj I t	697085	5331350	7
ee d A m sj i j i	670639	7037375	8
ee d ee p t ee ts i O n n i j	1233386	34846070	13
ee d ee p t A ts i j i	949013	15204075	10
ee d A p tj i r	610612	5501930	7
ee d ee p tj I v n i j	955280	16088912	10
ee d ee p tj I r ee v ee n n i j	1603692	52379074	14
