x	hx	logProbx	[]	[-sonorant,-ant]	[+sg]	[-nas,+lab]	[-sonorant,+ant]	[-cons,+cor]	[+sonorant,-cont]	[+cons,+dor]	[-high,-low]	[-sg,-ant]	[+cont,+voice,+cor]	[-voice,+ant,-secart]	[-syll,-nas][+cons]	[-syll][+wb]	[-low][+wb]	[+syll][+back]	[+wb][+syll]	[+syll,-low][+syll,-back]	[-syll,+sonorant][+cons,+sonorant]	[-syll][-voice]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-wb][+delrel,+lab]	[+wb][-syll,+sonorant]	[+cons,+lab][+low]	[+wb][+voice,-sg]	[+sonorant,-sg,+ant][+low]	[+high][][-high,-low]	[-high,-low][][+high]	[+low][][-high,-low]	[+wb][-nas,+dor][-back]	[-cont,+cor][-nas,+dor]	[-high,-back][][-high,-low,+back]	[-syll][+delrel,-sg]	[-delrel,+cor][][+wb]	[-ant][][+wb]	[-nas,+lab][][+wb]	[+delrel,+voice,+cor][][-sonorant]	violated_constraints
g e g w o y a	-9.62	-18.597	9	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	[], [-nas,+lab], [-cons,+cor], [+cons,+dor], [-high,-low], [-nas][-delrel,+voice,-sg], [+wb][+voice,-sg], [-high,-low][][+high], [+wb][-nas,+dor][-back], 
h i s w e k a	-4.739	-13.716	9	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [-nas,+lab], [-sonorant,+ant], [+cons,+dor], [-high,-low], [-voice,+ant,-secart], 
zv o m w e N a	-9.327	-18.303	9	1	0	1	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	[], [-sonorant,-ant], [-nas,+lab], [+sonorant,-cont], [+cons,+dor], [-high,-low], [+cont,+voice,+cor], [+cons,+sonorant,+dor][+sonorant], [-high,-low][][+high], 
d u m w o zh a	-6.804	-15.781	9	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-nas,+lab], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], [+wb][+voice,-sg], [-ant][][+wb], 
dzv u h w i dy a	-13.315	-22.292	9	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	[], [-sonorant,-ant], [+sg], [-nas,+lab], [-sg,-ant], [-nas][-delrel,+voice,-sg], [-delrel,+cor][][+wb], [-ant][][+wb], [+delrel,+voice,+cor][][-sonorant], 
zv o n d u sv a	-7.39	-16.367	9	2	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	[], [-sonorant,-ant], [-sonorant,+ant], [+sonorant,-cont], [-high,-low], [+cont,+voice,+cor], [-ant][][+wb], 
z o g w u t a	-7.191	-16.167	9	0	0	1	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+cons,+dor], [-high,-low], [+cont,+voice,+cor], [-nas][-delrel,+voice,-sg], [-high,-low][][+high], [-delrel,+cor][][+wb], 
f e n j i ty a	-9.603	-18.58	9	2	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	[], [-sonorant,-ant], [-nas,+lab], [+sonorant,-cont], [-high,-low], [-sg,-ant], [-delrel,+cor][][+wb], [-ant][][+wb], [+delrel,+voice,+cor][][-sonorant], 
g o b w i ts a	-6.481	-15.457	9	0	0	2	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	[], [-nas,+lab], [-sonorant,+ant], [+cons,+dor], [-high,-low], [-voice,+ant,-secart], [-nas][-delrel,+voice,-sg], [+wb][+voice,-sg], [-high,-low][][+high], 
mh a m w a pf a	-9.728	-18.705	9	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [+sg], [-nas,+lab], [+sonorant,-cont], [-wb][+delrel,+lab], [+wb][-syll,+sonorant], [+cons,+lab][+low], [-nas,+lab][][+wb], 
