x	hx	logProbx	[]	[+wb][+wb]	[+wb][+wb]	[-ant][]	[+sg]	[+high][-high]	[+wb][+back][+wb]	[-low][+wb]	[-wb][+lab]	[-syll,-cons]	[+ant,-secart][-wb]	[+sonorant,-cont]	[+wb][-back][+wb]	[+voice][-voice,+cor]	[+delrel,+lab]	[+wb][-back][+back]	[+cont,+voice][]	[+wb][+high,+back][+wb]	[-cont,+secart][]	[-syll,-nas][+cons]	[-high][+high,-back]	[+low][-low]	[-syll][+wb]	[+syll,+high][]	[-back][+back]	[-low][+low][+back]	[+wb][][+wb]	[+syll][+syll]	[-low][+wb]	[+wb][+syll,+back][-back]	[+wb][+syll]	[-syll][-voice]	[-syll,+sonorant][+cons,+sonorant]	[+cons,+sonorant,+dor][+sonorant]	[-nas][-delrel,+voice,-sg]	[-voice][-voice,+ant,-secart]	[-wb][-voice,+lab]	[+syll][+low]	[+sonorant,-ant][-syll,-nas]	[+lab][+cor]	[-nas][-ant]	[+dor][+cor]	[-cont,-sg,+lab][-high]	[+wb][-syll,+sonorant]	[+sonorant,-sg,+ant][+low]	[+syll,-low][-cons]	[+lab][][+wb]	[-low][-delrel,+cor][+low]	violated_constraints
j u ny a s a	-4.392	-13.335	8	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sonorant,-cont], [+voice][-voice,+cor], [+wb][+high,+back][+wb], [+syll,+high][], [-nas][-ant], 
zv i sh u zv a	-11.629	-20.571	8	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	[], [-ant][], [+voice][-voice,+cor], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [-nas][-ant], 
ty i v u dy a	-12.199	-21.141	8	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	[], [-ant][], [-wb][+lab], [+wb][-back][+back], [+cont,+voice][], [-cont,+secart][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-nas][-ant], [-low][-delrel,+cor][+low], 
bh o t a k a	-7.466	-16.408	8	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[], [+sg], [+wb][+back][+wb], [+voice][-voice,+cor], [-low][+low][+back], [-low][-delrel,+cor][+low], 
nh i bv a r a	-5.69	-14.633	8	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	[], [+sg], [+sonorant,-cont], [+wb][-back][+wb], [+delrel,+lab], [+syll,+high][], [+wb][][+wb], [-cont,-sg,+lab][-high], [+wb][-syll,+sonorant], 
ny a z i p a	-7.338	-16.28	8	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	[], [-wb][+lab], [+ant,-secart][-wb], [+sonorant,-cont], [+wb][-back][+wb], [+cont,+voice][], [+syll,+high][], [-wb][-voice,+lab], [+wb][-syll,+sonorant], [+lab][][+wb], 
nh o n o h a	-6.039	-14.982	8	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	[], [+sg], [+sonorant,-cont], [+wb][][+wb], [+wb][-syll,+sonorant], 
dzv i ch o pf a	-15.473	-24.415	8	0	0	2	0	1	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	[], [-ant][], [+high][-high], [+wb][+back][+wb], [-wb][+lab], [+voice][-voice,+cor], [+delrel,+lab], [+wb][-back][+back], [-cont,+secart][], [+syll,+high][], [-wb][-voice,+lab], [-nas][-ant], [+lab][][+wb], 
s o b e ty a	-10.966	-19.909	8	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	[], [-ant][], [-wb][+lab], [+ant,-secart][-wb], [+voice][-voice,+cor], [-cont,+secart][], [+wb][+syll,+back][-back], [-nas][-delrel,+voice,-sg], [-nas][-ant], [-cont,-sg,+lab][-high], [-low][-delrel,+cor][+low], 
d i s a sv a	-5.759	-14.701	8	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+ant,-secart][-wb], [+wb][-back][+wb], [+voice][-voice,+cor], [+syll,+high][], [-nas][-ant], 
f u f a w a	-4.505	-13.447	8	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	[], [-wb][+lab], [-syll,-cons], [+syll,+high][], [-wb][-voice,+lab], [+lab][][+wb], 
ts u mh o z a	-8.021	-16.963	8	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [+sg], [+high][-high], [+wb][+back][+wb], [+ant,-secart][-wb], [+sonorant,-cont], [+cont,+voice][], [+syll,+high][], 
dh a ty i b a	-12.066	-21.008	8	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	[], [-ant][], [+sg], [-wb][+lab], [+wb][-back][+wb], [+voice][-voice,+cor], [-cont,+secart][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-nas][-ant], [-cont,-sg,+lab][-high], [+lab][][+wb], 
d u g u zv a	-5.163	-14.105	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+cont,+voice][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-nas][-ant], 
b e p u y a	-7.073	-16.015	8	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	[], [-wb][+lab], [-syll,-cons], [+wb][-back][+back], [+syll,+high][], [-wb][-voice,+lab], [-cont,-sg,+lab][-high], [+syll,-low][-cons], 
sv i dh u k a	-4.936	-13.878	8	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+sg], [+wb][-back][+back], [+syll,+high][], 
tsv a bv a dy a	-9.97	-18.913	8	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	[], [+wb][+wb], [-ant][], [-wb][+lab], [+delrel,+lab], [-cont,+secart][], [-nas][-delrel,+voice,-sg], [-nas][-ant], [-cont,-sg,+lab][-high], 
zv i r u N a	-7.15	-16.092	8	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+sonorant,-cont], [+wb][-back][+back], [+cont,+voice][], [+syll,+high][], [+wb][][+wb], [+cons,+sonorant,+dor][+sonorant], 
h a f u dy a	-11.382	-20.324	8	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	[], [-ant][], [+sg], [-wb][+lab], [+wb][+high,+back][+wb], [-cont,+secart][], [+syll,+high][], [-nas][-delrel,+voice,-sg], [-wb][-voice,+lab], [-nas][-ant], [-low][-delrel,+cor][+low], 
tsv o zh a nh a	-11.01	-19.952	8	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	[], [-ant][], [+sg], [+wb][+back][+wb], [+sonorant,-cont], [+cont,+voice][], [-cont,+secart][], [-low][+low][+back], [-nas][-ant], 
dy u tsv u p a	-11.623	-20.565	8	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	[], [-ant][], [-wb][+lab], [+voice][-voice,+cor], [-cont,+secart][], [+syll,+high][], [-wb][-voice,+lab], [-nas][-ant], [+lab][][+wb], 
vh u dz o bh a	-12.027	-20.969	8	0	0	0	2	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	[], [+sg], [+high][-high], [+wb][+back][+wb], [-wb][+lab], [+ant,-secart][-wb], [+cont,+voice][], [+syll,+high][], [+lab][][+wb], 
zh u ts e ts a	-9.602	-18.544	8	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+high][-high], [+ant,-secart][-wb], [+voice][-voice,+cor], [+cont,+voice][], [+syll,+high][], [+wb][+syll,+back][-back], [-voice][-voice,+ant,-secart], 
mh e N o ts a	-20.95	-29.892	8	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	[], [+sg], [+sonorant,-cont], [+wb][-back][+back], [-back][+back], [+wb][][+wb], [+cons,+sonorant,+dor][+sonorant], [+wb][-syll,+sonorant], 
ty o n e s a	-5.396	-14.338	8	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	[], [-ant][], [+sonorant,-cont], [-cont,+secart][], [+wb][+syll,+back][-back], [-voice][-voice,+ant,-secart], 
